Year,Month,kWh,school_days,population,p_decision
2015,May,151800,0,2487,B
2015,June,193200,23,2487,C
2015,July,207600,23,2487,C
2015,August,193800,12,2487,C
2015,September,166800,20,2306,A
2015,October,199200,27,2306,C
2015,November,164400,20,2306,A
2015,December,118200,19,2306,A
2016,January,169800,19,2162,C
2016,February,163800,23,2162,A
2016,March,174000,24,2162,C
2016,April,147000,21,2162,A
2016,May,144000,0,0,B
2016,June,189600,22,2433,C
2016,July,208200,25,2433,C
2016,August,182400,26,2433,C
2016,September,180600,22,2225,C
2016,October,171600,25,2225,C
2016,November,166200,24,2225,A
2016,December,115200,29,2225,A
2017,January,153000,32,2155,A
2017,February,143400,34,2155,A
2017,March,165600,27,2155,C
2017,April,100200,13,2155,A
2017,May,144000,0,0,B
2017,June,172200,22,2308,C
2017,July,196200,26,2308,C
2017,August,171000,25,2308,C
2017,September,168000,21,2173,C
2017,October,166800,25,2173,C
2017,November,147600,24,2173,A
2017,December,111000,17,2173,A
2018,January,141000,23,2090,A
2018,February,144600,23,2090,A
2018,March,135600,24,2090,A
2018,April,146400,15,2090,A
2018,May,134400,0,0,B
2018,June,168000,22,2148,C
2018,July,158400,26,2148,C
2018,August,162600,25,2148,C
2018,September,153000,19,1991,C
2018,October,161400,27,1991,C
2018,November,172200,23,1991,C
2018,December,105600,15,1991,A
2019,January,115200,19,1902,A
2019,February,127200,22,1902,A
2019,March,135600,26,1902,A
2019,April,146400,22,1902,C
2019,May,134400,2,1902,A
2019,June,159000,6,1904,D
2019,July,151800,27,1904,C
2019,August,162600,24,1904,C
2019,September,153000,26,1904,C
2019,October,161400,22,1775,C
2019,November,172200,23,1775,C
2019,December,63000,18,1775,A
2020,January,115200,19,1775,C
2020,February,127200,20,1658,C
2020,March,52500,7,1658,A
2020,April,43800,0,0,B
2020,May,51600,0,0,B
2020,June,48000,0,0,B
2020,July,42000,0,0,B
2020,August,45600,0,0,B
2020,September,45600,0,0,B
2020,October,48600,0,0,B
2020,November,49200,0,0,B
2020,December,21600,0,0,B
2021,January,42600,0,0,B
2021,February,40800,0,0,B
2021,March,44400,0,0,B
2021,April,49200,0,0,B
2021,May,52200,0,0,D
2021,June,58200,0,0,D
2021,July,50400,0,0,B
2021,August,49800,0,0,B
2021,September,51600,0,0,D
2021,October,51000,0,0,D
2021,November,59400,0,0,D
2021,December,61200,0,0,B
2022,January,48600,0,0,B
2022,February,55200,0,0,B
2022,March,63600,10,1638,A
2022,April,75600,22,1638,A
2022,May,77400,25,1638,A
2022,June,93600,24,1638,C
2022,July,72600,0,0,B
2022,August,92400,14,1713,C
2022,September,95400,26,1713,C
2022,October,94800,26,1713,C
2022,November,78600,19,1713,C
2022,December,82200,18,1614,C
2023,January,67800,24,1614,A
2023,February,82200,23,1614,C
2023,March,70200,22,1614,A
2023,April,81000,21,1614,C
2023,May,100800,26,1614,C